entry_id,kanji_element_id,kanji,kanji_info,reading_element_id,reading,reading_nokanji,reading_info,reading_restraint_id,reading_restraint,sense_id,pos,field,misc,dialect,sense_kanji_restriction_id,kanji_restriction,sense_reading_restriction_id,reading_restriction,sense_xref_id,xref,sense_antonym_id,antonym,sense_gloss_id,gloss,sense_example_id,sense_text,japanese_sentence,english_sentence
1000000,,,,1,ヽ,f,,,,1,unclassified,,,,,,,,1,一の字点,,,1,repetition mark in katakana,,,,
1000010,,,,2,ヾ,f,,,,2,unclassified,,,,,,,,,,,,2,voiced repetition mark in katakana,,,,
1000020,,,,3,ゝ,f,,,,3,unclassified,,,,,,,,,,,,3,repetition mark in hiragana,,,,
1000030,,,,4,ゞ,f,,,,4,unclassified,,,,,,,,,,,,4,voiced repetition mark in hiragana,,,,
1000040,1,〃,,5,おなじ,f,,,,5,noun (common) (futsuumeishi),,,,,,,,,,,,5,ditto mark,,,,
1000040,1,〃,,6,おなじく,f,,,,5,noun (common) (futsuumeishi),,,,,,,,,,,,5,ditto mark,,,,
1000050,2,仝,,7,どうじょう,f,,,,6,noun (common) (futsuumeishi),,,,,,,,,,,,6,"""as above"" mark",,,,
1000060,3,々,,9,ノマ,t,,,,7,unclassified,,,,,,,,2,同の字点,,,7,kanji repetition mark,,,,
1000060,3,々,,8,のま,f,,,,7,unclassified,,,,,,,,2,同の字点,,,7,kanji repetition mark,,,,
1000090,5,〇,,10,まる,f,,,,8,noun (common) (futsuumeishi),,,,,,,,3,丸・まる・1,,,8,circle,,,,
1000090,4,○,,10,まる,f,,,,8,noun (common) (futsuumeishi),,,,,,,,3,丸・まる・1,,,8,circle,,,,
1000090,5,〇,,10,まる,f,,,,9,noun (common) (futsuumeishi),,,,,,,,4,二重丸,,,10,"""good""",,,,
1000090,5,〇,,10,まる,f,,,,9,noun (common) (futsuumeishi),,,,,,,,4,二重丸,,,9,"""correct""",,,,
1000090,4,○,,10,まる,f,,,,9,noun (common) (futsuumeishi),,,,,,,,4,二重丸,,,10,"""good""",,,,
1000090,4,○,,10,まる,f,,,,9,noun (common) (futsuumeishi),,,,,,,,4,二重丸,,,9,"""correct""",,,,
1000090,5,〇,,10,まる,f,,,,10,unclassified,,,,,,,,5,〇〇・1,,,12,_,,,,
1000090,5,〇,,10,まる,f,,,,10,unclassified,,,,,,,,5,〇〇・1,,,11,*,,,,
1000090,4,○,,10,まる,f,,,,10,unclassified,,,,,,,,5,〇〇・1,,,12,_,,,,
1000090,4,○,,10,まる,f,,,,10,unclassified,,,,,,,,5,〇〇・1,,,11,*,,,,
1000090,5,〇,,10,まる,f,,,,11,noun (common) (futsuumeishi),,,,,,,,6,句点,,,14,full stop,,,,
1000090,5,〇,,10,まる,f,,,,11,noun (common) (futsuumeishi),,,,,,,,6,句点,,,13,period,,,,
1000090,4,○,,10,まる,f,,,,11,noun (common) (futsuumeishi),,,,,,,,6,句点,,,14,full stop,,,,
1000090,4,○,,10,まる,f,,,,11,noun (common) (futsuumeishi),,,,,,,,6,句点,,,13,period,,,,
1000090,4,○,,10,まる,f,,,,12,noun (common) (futsuumeishi),,,,,,,,7,半濁点,,,15,handakuten (diacritic),,,,
1000090,5,〇,,10,まる,f,,,,12,noun (common) (futsuumeishi),,,,,,,,7,半濁点,,,15,handakuten (diacritic),,,,
1000100,6,ＡＢＣ順,,11,エービーシーじゅん,f,,,,13,noun (common) (futsuumeishi),,,,,,,,,,,,16,alphabetical order,,,,
