entry_id,kanji,kanji_info,reading,reading_nokanji,reading_info,pos,field,misc,dialect,gloss,sense_text,japanese_sentence,english_sentence
1001061,,,,,,,,,,,,,
1000260,灰汁どい,rarely-used kanji form,あくどい,f,,adjective (keiyoushi),,word usually written using kana alone,,dishonest,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,灰汁どい,rarely-used kanji form,あくどい,f,,adjective (keiyoushi),,word usually written using kana alone,,unscrupulous,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,灰汁どい,rarely-used kanji form,あくどい,f,,adjective (keiyoushi),,word usually written using kana alone,,nasty,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,灰汁どい,rarely-used kanji form,あくどい,f,,adjective (keiyoushi),,word usually written using kana alone,,wicked,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,灰汁どい,rarely-used kanji form,あくどい,f,,adjective (keiyoushi),,word usually written using kana alone,,vicious,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,灰汁どい,rarely-used kanji form,あくどい,f,,adjective (keiyoushi),,word usually written using kana alone,,crooked,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,悪どい,ateji (phonetic) reading,あくどい,f,,adjective (keiyoushi),,word usually written using kana alone,,dishonest,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,悪どい,ateji (phonetic) reading,あくどい,f,,adjective (keiyoushi),,word usually written using kana alone,,unscrupulous,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,悪どい,ateji (phonetic) reading,あくどい,f,,adjective (keiyoushi),,word usually written using kana alone,,nasty,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,悪どい,ateji (phonetic) reading,あくどい,f,,adjective (keiyoushi),,word usually written using kana alone,,wicked,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,悪どい,ateji (phonetic) reading,あくどい,f,,adjective (keiyoushi),,word usually written using kana alone,,vicious,あくどい,あくどい事をするな。,Don't do wicked things.
1000260,悪どい,ateji (phonetic) reading,あくどい,f,,adjective (keiyoushi),,word usually written using kana alone,,crooked,あくどい,あくどい事をするな。,Don't do wicked things.
1000660,如何にも,,いかにも,f,,adverb (fukushi),,word usually written using kana alone,,just (like),いかにも,こんな格好をしているといかにもスポーツしてそうに見えるけど、全然やってないんだよ。,"I look for all the world like an athlete in this outfit, but the truth is I
                    don't do any sports at all.
                "
1000660,如何にも,,いかにも,f,,adverb (fukushi),,word usually written using kana alone,,truly,いかにも,こんな格好をしているといかにもスポーツしてそうに見えるけど、全然やってないんだよ。,"I look for all the world like an athlete in this outfit, but the truth is I
                    don't do any sports at all.
                "
1000660,如何にも,,いかにも,f,,adverb (fukushi),,word usually written using kana alone,,really,いかにも,こんな格好をしているといかにもスポーツしてそうに見えるけど、全然やってないんだよ。,"I look for all the world like an athlete in this outfit, but the truth is I
                    don't do any sports at all.
                "
1000660,如何にも,,いかにも,f,,adverb (fukushi),,word usually written using kana alone,,indeed,いかにも,こんな格好をしているといかにもスポーツしてそうに見えるけど、全然やってないんだよ。,"I look for all the world like an athlete in this outfit, but the truth is I
                    don't do any sports at all.
                "
1000130,Ｎ響,,エヌきょう,f,,noun (common) (futsuumeishi),,abbreviation,,NHK Symphony Orchestra,,,
1000525,𩺊,,あら,f,,noun (common) (futsuumeishi),,word usually written using kana alone,,saw-edged perch (Niphon spinosus),,,
1000525,𩺊,,アラ,t,,noun (common) (futsuumeishi),,word usually written using kana alone,,saw-edged perch (Niphon spinosus),,,
1000220,明白,,めいはく,f,,adjectival nouns or quasi-adjectives (keiyodoshi),,,,overt,明白,何をしなければならないかは明白です。,It is clear what must be done.
1000220,明白,,めいはく,f,,adjectival nouns or quasi-adjectives (keiyodoshi),,,,explicit,明白,何をしなければならないかは明白です。,It is clear what must be done.
1000220,明白,,めいはく,f,,adjectival nouns or quasi-adjectives (keiyodoshi),,,,apparent,明白,何をしなければならないかは明白です。,It is clear what must be done.
1000220,明白,,めいはく,f,,adjectival nouns or quasi-adjectives (keiyodoshi),,,,evident,明白,何をしなければならないかは明白です。,It is clear what must be done.
1000220,明白,,めいはく,f,,adjectival nouns or quasi-adjectives (keiyodoshi),,,,plain,明白,何をしなければならないかは明白です。,It is clear what must be done.
1000220,明白,,めいはく,f,,adjectival nouns or quasi-adjectives (keiyodoshi),,,,clear,明白,何をしなければならないかは明白です。,It is clear what must be done.
1000220,明白,,めいはく,f,,adjectival nouns or quasi-adjectives (keiyodoshi),,,,obvious,明白,何をしなければならないかは明白です。,It is clear what must be done.
1000940,,,いらっしゃる,f,,"Godan verb - -aru special class, auxiliary verb",,honorific or respectful (sonkeigo) language,,to be (doing),いらっしゃいます,あなたはご両親のどちらに似ていらっしゃいますか。,Which of your parents do you take after?
1000820,,,いそいそ,f,,"adverb taking the 'to' particle, adverb (fukushi), noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,eagerly,イソイソと,智子はイソイソと出掛けていった。,Tomoko bounced happily out the door.
1000820,,,いそいそ,f,,"adverb taking the 'to' particle, adverb (fukushi), noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,excitedly,イソイソと,智子はイソイソと出掛けていった。,Tomoko bounced happily out the door.
1000820,,,いそいそ,f,,"adverb taking the 'to' particle, adverb (fukushi), noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,lightheartedly,イソイソと,智子はイソイソと出掛けていった。,Tomoko bounced happily out the door.
1000820,,,いそいそ,f,,"adverb taking the 'to' particle, adverb (fukushi), noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,happily,イソイソと,智子はイソイソと出掛けていった。,Tomoko bounced happily out the door.
1000820,,,いそいそ,f,,"adverb taking the 'to' particle, adverb (fukushi), noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,joyfully,イソイソと,智子はイソイソと出掛けていった。,Tomoko bounced happily out the door.
1000820,,,いそいそ,f,,"adverb taking the 'to' particle, adverb (fukushi), noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,joyously,イソイソと,智子はイソイソと出掛けていった。,Tomoko bounced happily out the door.
1000820,,,いそいそ,f,,"adverb taking the 'to' particle, adverb (fukushi), noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,cheerfully,イソイソと,智子はイソイソと出掛けていった。,Tomoko bounced happily out the door.
1000820,,,イソイソ,f,,"adverb taking the 'to' particle, adverb (fukushi), noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,eagerly,イソイソと,智子はイソイソと出掛けていった。,Tomoko bounced happily out the door.
1000820,,,イソイソ,f,,"adverb taking the 'to' particle, adverb (fukushi), noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,excitedly,イソイソと,智子はイソイソと出掛けていった。,Tomoko bounced happily out the door.
1000820,,,イソイソ,f,,"adverb taking the 'to' particle, adverb (fukushi), noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,lightheartedly,イソイソと,智子はイソイソと出掛けていった。,Tomoko bounced happily out the door.
1000820,,,イソイソ,f,,"adverb taking the 'to' particle, adverb (fukushi), noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,happily,イソイソと,智子はイソイソと出掛けていった。,Tomoko bounced happily out the door.
1000820,,,イソイソ,f,,"adverb taking the 'to' particle, adverb (fukushi), noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,joyfully,イソイソと,智子はイソイソと出掛けていった。,Tomoko bounced happily out the door.
1000820,,,イソイソ,f,,"adverb taking the 'to' particle, adverb (fukushi), noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,joyously,イソイソと,智子はイソイソと出掛けていった。,Tomoko bounced happily out the door.
1000820,,,イソイソ,f,,"adverb taking the 'to' particle, adverb (fukushi), noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,cheerfully,イソイソと,智子はイソイソと出掛けていった。,Tomoko bounced happily out the door.
1000580,彼れ,rarely-used kanji form,あれ,f,,noun (common) (futsuumeishi),,"colloquial, euphemistic, word usually written using kana alone",,menses,,,
1000580,彼れ,rarely-used kanji form,あれ,f,,noun (common) (futsuumeishi),,"colloquial, euphemistic, word usually written using kana alone",,period,,,
1000580,彼,rarely-used kanji form,あれ,f,,noun (common) (futsuumeishi),,"colloquial, euphemistic, word usually written using kana alone",,menses,,,
1000580,彼,rarely-used kanji form,あれ,f,,noun (common) (futsuumeishi),,"colloquial, euphemistic, word usually written using kana alone",,period,,,
1000580,彼れ,rarely-used kanji form,アレ,f,search-only kana form,noun (common) (futsuumeishi),,"colloquial, euphemistic, word usually written using kana alone",,menses,,,
1000580,彼れ,rarely-used kanji form,アレ,f,search-only kana form,noun (common) (futsuumeishi),,"colloquial, euphemistic, word usually written using kana alone",,period,,,
1000580,彼,rarely-used kanji form,アレ,f,search-only kana form,noun (common) (futsuumeishi),,"colloquial, euphemistic, word usually written using kana alone",,menses,,,
1000580,彼,rarely-used kanji form,アレ,f,search-only kana form,noun (common) (futsuumeishi),,"colloquial, euphemistic, word usually written using kana alone",,period,,,
1000750,,,いざ,f,,"adverb (fukushi), interjection (kandoushi)",,,,well,いざ,あなたから離れようと思っているのにいざそうしようとしてもうまくいかない。,"I want to split up, but I know I couldn't even if I tried."
1000750,,,いざ,f,,"adverb (fukushi), interjection (kandoushi)",,,,come (now),いざ,あなたから離れようと思っているのにいざそうしようとしてもうまくいかない。,"I want to split up, but I know I couldn't even if I tried."
1000750,,,いざ,f,,"adverb (fukushi), interjection (kandoushi)",,,,now,いざ,あなたから離れようと思っているのにいざそうしようとしてもうまくいかない。,"I want to split up, but I know I couldn't even if I tried."
1000210,,,あおば,f,,noun (common) (futsuumeishi),,obsolete term,,(former) regular (stops at every station) Tōhoku-line Shinkansen,,,
1000740,,,いごっそう,f,,noun (common) (futsuumeishi),,,Tosa-ben,obstinate person,,,
1000740,,,いごっそう,f,,noun (common) (futsuumeishi),,,Tosa-ben,strong-minded person,,,
1000740,,,いごっそう,f,,noun (common) (futsuumeishi),,,Tosa-ben,stubborn person,,,
1000040,〃,,おなじ,f,,noun (common) (futsuumeishi),,,,ditto mark,,,
1000040,〃,,おなじく,f,,noun (common) (futsuumeishi),,,,ditto mark,,,
1000830,,,イチャイチャ,f,,"adverb (fukushi), noun or participle which takes the aux. verb suru",,,,making out,イチャイチャ,街中でイチャイチャするカップル見たら腹立ちませんか？,Doesn't it irritate you to see couples making out around town?
1000830,,,イチャイチャ,f,,"adverb (fukushi), noun or participle which takes the aux. verb suru",,,,flirting,イチャイチャ,街中でイチャイチャするカップル見たら腹立ちませんか？,Doesn't it irritate you to see couples making out around town?
1000830,,,いちゃいちゃ,f,,"adverb (fukushi), noun or participle which takes the aux. verb suru",,,,making out,イチャイチャ,街中でイチャイチャするカップル見たら腹立ちませんか？,Doesn't it irritate you to see couples making out around town?
1000830,,,いちゃいちゃ,f,,"adverb (fukushi), noun or participle which takes the aux. verb suru",,,,flirting,イチャイチャ,街中でイチャイチャするカップル見たら腹立ちませんか？,Doesn't it irritate you to see couples making out around town?
1001010,,,ウッカリ,f,,"adverb (fukushi), adverb taking the 'to' particle, noun or participle which takes the aux. verb suru",,onomatopoeic or mimetic word,,inadvertently,うっかり,うっかりそれを忘れるところだったわ。,I almost forgot all about that.
